name,business_id,industry,toi_code,toi_description,nearest_station,distance_km,address,website,status,registered,lat,lon,found_website
Kauppahuone Luomala Oy,3509956-5,retail,47120.0,Muu erikoistumaton vähittäiskauppa,Pasila,0.08,"Aleksis Kiven Katu, 00520",,2,2025-02-16,60.1986848,24.933802,
Vintturi Holding Oy,3510061-8,finance,64210.0,Holdingyhtiöiden toiminta,Pasila,0.08,"Opastinsilta, 00520",,2,2025-02-16,60.1986848,24.933802,
Super Insane Oy,3511617-7,other,59200.0,Ääni- ja musiikkitallenteiden kustantaminen,Pasila,0.08,"Aleksis kiven katu, 00520",www.superinsane.fi,2,2025-02-22,60.1986848,24.933802,www.superinsane.fi
ON4 Sales Oy,3512200-8,other,82990.0,Muualla luokittelematon muu liike-elämän tukipalvelutoiminta,Pasila,0.08,"Opastinsilta, 00520",,2,2025-03-14,60.1986848,24.933802,
Hogu Industries Oy,3513906-1,other,95290.0,Muualla luokittelematon henkilökohtaisten ja taloustavaroiden korjaus ja huolto,Pasila,0.08,"Ratavartijankatu, 00520",,2,2025-03-10,60.1986848,24.933802,
Prisma Properties Liminka Oy,3513929-9,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-03-11,60.1986848,24.933802,
SUOMI BROADCAST NETWORKS HOLDINGS OY,3508812-9,finance,64210.0,Holdingyhtiöiden toiminta,Pasila,0.08,"Jamsankatu, 00520",,2,2025-05-31,60.1986848,24.933802,
ENERFUSION Finland Oy,3528354-9,wholesale,46500.0,Tieto- ja viestintäteknisten laitteiden tukkukauppa,Pasila,0.08,"Veturitie, 00520",,2,2025-06-04,60.1986848,24.933802,https://www.enerfusioninc.com/
Pitco Palvelut Oy,3528432-2,logistics,49410.0,Tieliikenteen tavarankuljetus,Pasila,0.08,"Kellosilta, 00520",,2,2025-04-18,60.1986848,24.933802,
MARK Enterprises Oy,3529468-6,hospitality,56111.0,Ruokaravintolat,Pasila,0.08,"Asemapaallikonkatu, 00520",,2,2025-05-05,60.1986848,24.933802,
International Oil Trading B.V. Suomen sivuliike,3549326-3,wholesale,46810.0,"Kiinteiden, nestemäisten ja kaasumaisten polttoaineiden ja vastaavien tuotteiden tukkukauppa",Pasila,0.08,"Veturitie, 00520",,2,2025-09-19,60.1986848,24.933802,
OY Svensky,3550947-2,wholesale,46390.0,"Elintarvikkeiden, juomien ja tupakan yleistukkukauppa",Pasila,0.08,"Veturitie, 00520",www.svensky.ee,2,2025-08-29,60.1986848,24.933802,www.svensky.ee
Apollon talo Holding Oy,3551141-7,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-08-28,60.1986848,24.933802,
Apollo Vuokraus Oy,3551144-1,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-08-28,60.1986848,24.933802,
Soipisammal Oy,3552805-9,other,90391.0,Taiteen ja kulttuurin live-tapahtumien järjestäminen,Pasila,0.08,"Radanrakentajantie, 00520",,2,2025-08-04,60.1986848,24.933802,
Korismatkat Tours Oy,3553099-2,other,93199.0,Muu muualla luokittelematon liikunta- ja urheilutoiminta,Pasila,0.08,"Inkoonkatu, 00520",www.korismatkat.fi,2,2025-08-11,60.1986848,24.933802,www.korismatkat.fi
RE-Generous Unlimited Oy,3553131-1,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Kasoorinkatu, 00520",,2,2025-08-05,60.1986848,24.933802,
Sula 11 Oy,3555129-1,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-12-31,60.1986848,24.933802,
UB Asuntorahasto I Syöttörahasto III Ky,3548495-7,finance,64310.0,Rahastotoiminta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-08-26,60.1986848,24.933802,
Niko Torvinen Oy,3555425-7,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Hoyrykatu, 00520",,2,2025-08-18,60.1986848,24.933802,
Lumi BC 1 Oy,3558277-6,engineering,71202.0,Muu tekninen testaus ja analysointi,Pasila,0.08,"Kumpulantie, 00520",,2,2025-12-31,60.1986848,24.933802,
Lumi BC 2 Oy,3558278-4,engineering,71202.0,Muu tekninen testaus ja analysointi,Pasila,0.08,"Kumpulantie, 00520",,2,2025-12-31,60.1986848,24.933802,
Lumi HC 1 Oy,3558284-8,finance,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Kumpulantie, 00520",,2,2025-12-31,60.1986848,24.933802,
Lumi HC 2 Oy,3558286-4,finance,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Kumpulantie, 00520",,2,2025-12-31,60.1986848,24.933802,https://lumi.vn/san-pham/bo-dieu-khien-trung-tam.html
Vire Group Oy,3558645-1,marketing,70100.0,Pääkonttorien toiminta,Pasila,0.08,"Asemapaallikonkatu, 00520",,2,2025-08-31,60.1986848,24.933802,https://www.vireagroup.fi/
Finsora Oy,3560297-6,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2026-01-09,60.1986848,24.933802,https://www.finsora.eu/?page=cont
Sinolink Nordics Oy,3560774-2,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Firdonkatu, 00520",,2,2025-09-10,60.1986848,24.933802,
Kvanttivalli Oy,3561339-2,finance,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Hoyrypolku, 00520",,2,2025-09-09,60.1986848,24.933802,
Inget & Co Oy,3556481-8,finance,64210.0,Holdingyhtiöiden toiminta,Pasila,0.08,"Teollisuuskatu, 00520",,2,2025-08-21,60.1986848,24.933802,
Domakers Group Oy,3542047-8,marketing,70100.0,Pääkonttorien toiminta,Pasila,0.08,"Tenderinlenkki, 00520",,2,2025-06-28,60.1986848,24.933802,
Pentti Rytivaara Oy,3540460-3,finance,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Teollisuuskatu, 00520",,2,2025-06-18,60.1986848,24.933802,
Juuri Consulting Oy,3539425-7,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Fredikanterassi, 00520",,2,2025-06-16,60.1986848,24.933802,
PPI Finland Holding 6 Oy,3529955-9,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-04-29,60.1986848,24.933802,
